Name,FPTS
Peyton Watson PFDEN  @  MEMTue 8:00pm,25.2
Grant Williams PF/CCHA  @  BKNTue 7:30pm,24.8
Al Horford CCLE  @  BOSTue 7:00pm,24.5
Stephon Castle SGOKC  @  SATue 9:30pm,24.5
Aaron Wiggins SF/PFOKC  @  SATue 9:30pm,24.2
PJ Washington PFNO  @  DALTue 8:30pm,24.2
Marcus Smart PG/SGDEN  @  MEM GTDTue 8:00pm,23.5
Ziaire Williams SG/SFCHA  @  BKN GTDTue 7:30pm,22.6
Javonte Green PFNO  @  DALTue 8:30pm,21.9
Julian Champagnie SG/SFOKC  @  SATue 9:30pm,21.8
Brandon Clarke CDEN  @  MEMTue 8:00pm,21.8
Jaylen Nowell PG/SGNO  @  DALTue 8:30pm,21.7
Keldon Johnson SF/PFOKC  @  SATue 9:30pm,21.6
Harrison Barnes SF/PFOKC  @  SATue 9:30pm,21.5
Moussa Diabate CCHA  @  BKNTue 7:30pm,21.3
Cason Wallace PG/SGOKC  @  SATue 9:30pm,21.3
Dorian Finney-Smith PFCHA  @  BKN GTDTue 7:30pm,21.3
Jay Huff CDEN  @  MEMTue 8:00pm,21.2
Neemias Queta CCLE  @  BOSTue 7:00pm,20.5
Dalton Knecht SG/SFUTAH  @  LALTue 10:30pm,20.5
Vince Williams Jr. SF/PFDEN  @  MEMTue 8:00pm,20.5
Naji Marshall SF/PFNO  @  DAL GTDTue 8:30pm,19.9
Ty Jerome PGCLE  @  BOSTue 7:00pm,19.8
Jeremiah Robinson-Earl PF/CNO  @  DALTue 8:30pm,19.5
Cody Martin PG/SFCHA  @  BKNTue 7:30pm,19.5
Tre Mann PG/SGCHA  @  BKN GTDTue 7:30pm,19.3
Santi Aldama SF/PFDEN  @  MEMTue 8:00pm,19.3
Charles Bassey COKC  @  SATue 9:30pm,19
Daniel Gafford CNO  @  DALTue 8:30pm,18.3
Isaiah Collier PGUTAH  @  LALTue 10:30pm,18.3
Alex Caruso SG/SFOKC  @  SA OUTTue 9:30pm,18.2
Josh Green SF/PFCHA  @  BKNTue 7:30pm,18
Ajay Mitchell PGOKC  @  SATue 9:30pm,17.8
Jalen Wilson SFCHA  @  BKNTue 7:30pm,17.1
Georges Niang SF/PFCLE  @  BOSTue 7:00pm,17
Julian Strawther SG/SFDEN  @  MEMTue 8:00pm,16.9
Sam Hauser SF/PFCLE  @  BOSTue 7:00pm,16.9
Kenrich Williams PF/COKC  @  SATue 9:30pm,16.9
Jaylen Wells SGDEN  @  MEMTue 8:00pm,15.9
Jamal Cain SFNO  @  DALTue 8:30pm,15.7
Isaac Okoro SG/SFCLE  @  BOS GTDTue 7:00pm,15.6
Sam Merrill SGCLE  @  BOS GTDTue 7:00pm,15.6
Noah Clowney PF/CCHA  @  BKNTue 7:30pm,15.6
Trendon Watford PF/CCHA  @  BKNTue 7:30pm,15.2
Tre Jones PGOKC  @  SA GTDTue 9:30pm,15.1
Drew Eubanks CUTAH  @  LALTue 10:30pm,14.7
Luke Kennard PG/SGDEN  @  MEMTue 8:00pm,13.4
Trey Jemison CNO  @  DALTue 8:30pm,12.9
Cam Reddish SG/SFUTAH  @  LAL GTDTue 10:30pm,12.8
Tidjane Salaun SF/PFCHA  @  BKNTue 7:30pm,11.2
Cody Williams SFUTAH  @  LALTue 10:30pm,11
Jake LaRavia PFDEN  @  MEMTue 8:00pm,10.8
Quentin Grimes SG/SFNO  @  DALTue 8:30pm,10.6
Dillon Jones PFOKC  @  SATue 9:30pm,10.4
Christian Koloko CUTAH  @  LALTue 10:30pm,10.2
Dario Saric CDEN  @  MEMTue 8:00pm,10
Maxi Kleber PF/CNO  @  DALTue 8:30pm,9.4
Keon Johnson PG/SGCHA  @  BKNTue 7:30pm,9.4
Ousmane Dieng COKC  @  SATue 9:30pm,9.4
Sandro Mamukelashvili PF/COKC  @  SATue 9:30pm,9.2
Gabe Vincent PG/SGUTAH  @  LALTue 10:30pm,8.3
Malaki Branham SG/SFOKC  @  SATue 9:30pm,7.9
Luke Kornet CCLE  @  BOSTue 7:00pm,7.8
Vlatko Cancar PF/CDEN  @  MEM OUTTue 8:00pm,7.1
Seth Curry SGCHA  @  BKNTue 7:30pm,4.5
Jaden Hardy PG/SGNO  @  DALTue 8:30pm,4.2
Max Christie SG/SFUTAH  @  LALTue 10:30pm,3.5
Johnny Juzang SG/SFUTAH  @  LALTue 10:30pm,3.4
Spencer Dinwiddie PGNO  @  DALTue 8:30pm,3.3
Armel Traore PFUTAH  @  LALTue 10:30pm,0.1
